Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (BUENA PARK),2011 HONDA CIVIC EX COUPE (WHITE),2011,Civic,8100,6613,https://orangecounty.craigslist.org/cto/d/2011-honda-civic-ex-coupe/6461294750.html,2018-02-01 00:26,16,0.2248601239981854
 (GG),Honda Civic EX 2007,2007,Civic,6500,5292,https://orangecounty.craigslist.org/cto/d/honda-civic-ex-2007/6490768763.html,2018-02-09 14:04,8,0.22826908541194255
 (irvine),2007 Honda Civic EX,2007,Civic,6500,5292,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex/6482784966.html,2018-02-02 20:44,14,0.22826908541194255
 (irvine),2007 Honda Civic EX,2007,Civic,6500,5292,https://orangecounty.craigslist.org/cto/d/2007-honda-civic-ex/6482784966.html,2018-02-02 20:44,14,0.22826908541194255
 (Rancho San Diego),"2007 Honda Civic LX Excellent Condition, Low Miles!",2007,Civic,6500,5292,https://sandiego.craigslist.org/esd/cto/d/2007-honda-civic-lx-excellent/6475914246.html,2018-01-30 15:36,18,0.22826908541194255
 (Paramount),2012 HONDA CIVIC LX,2012,Civic,8900,7208,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-civic-lx/6463302463.html,2018-02-13 09:47,4,0.23473917869034405
 (Ontario),Honda Civic LX 2015,2015,Civic,10900,8767,https://inlandempire.craigslist.org/cto/d/honda-civic-lx-2015/6499191230.html,2018-02-16 14:28,1,0.2432987338884453
 (Ontario),Honda Civic LX sedan 2015,2015,Civic,10900,8767,https://losangeles.craigslist.org/lac/cto/d/honda-civic-lx-sedan-2015/6474099617.html,2018-02-15 11:05,2,0.2432987338884453
 (Ontario),Honda Civic LX sedan 2015,2015,Civic,10900,8767,https://losangeles.craigslist.org/lac/cto/d/honda-civic-lx-sedan-2015/6474099617.html,2018-02-15 11:05,2,0.2432987338884453
 (Wilmington),Dependable and clean 2012 Honda Civic LX sedan,2012,Civic,8995,7208,https://orangecounty.craigslist.org/cto/d/dependable-and-clean-2012/6488600241.html,2018-02-16 13:39,1,0.24791897891231965
 (Wilmington),Dependable and clean 2012 Honda Civic LX sedan,2012,Civic,8995,7208,https://orangecounty.craigslist.org/cto/d/dependable-and-clean-2012/6488600241.html,2018-02-16 13:39,1,0.24791897891231965
 (Anaheim),2012 civic leather/nav/sunroof,2012,Civic,8999,7208,https://orangecounty.craigslist.org/cto/d/2012-civic-leather-nav-sunroof/6471948703.html,2018-01-24 19:27,23,0.24847391786903442
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://sandiego.craigslist.org/nsd/cto/d/2012-honda-civic-natural-gas/6485012505.html,2018-02-05 02:08,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://inlandempire.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485013966.html,2018-02-05 02:15,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://orangecounty.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485013990.html,2018-02-05 02:16,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://palmsprings.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485014143.html,2018-02-05 02:17,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://inlandempire.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485013966.html,2018-02-05 02:15,12,0.2486126526082131
 (Corona),2012 Honda Civic Natural Gas,2012,Civic,9000,7208,https://orangecounty.craigslist.org/cto/d/2012-honda-civic-natural-gas/6485013990.html,2018-02-05 02:16,12,0.2486126526082131
